Area,Element,Item,Year,Value
World,Emissions (CH4),Burning - Crop residues,1976,821.2682
World,Emissions (CO2eq) from CH4,Rice Cultivation,1976,450089.4301
World,Emissions (CH4),Rice Cultivation,1976,21432.83
World,Emissions (CO2eq) from CH4,Manure Management,1976,175210.8202
World,Emissions (CH4),Manure Management,1976,8343.3724
World,Emissions (CO2eq) from CH4,Enteric Fermentation,1976,1701606.88
World,Emissions (CH4),Enteric Fermentation,1976,81028.899
World,Emissions (CO2eq) from CH4,Agriculture total,1976,2344153.762
World,Emissions (CH4),Agriculture total,1976,111626.3696
Canada,Emissions (CO2eq) from CH4,Burning - Crop residues,1976,295.3889
Canada,Emissions (CH4),Burning - Crop residues,1976,14.0661
Canada,Emissions (CO2eq) from CH4,Manure Management,1976,3710.1018
Canada,Emissions (CH4),Manure Management,1976,176.6715
Canada,Emissions (CO2eq) from CH4,Enteric Fermentation,1976,19213.1814
Canada,Emissions (CH4),Enteric Fermentation,1976,914.9134
Canada,Emissions (CO2eq) from CH4,Agriculture total,1976,23218.6721
Canada,Emissions (CH4),Agriculture total,1976,1105.6511
United States of America,Emissions (CO2eq) from CH4,Burning - Crop residues,1976,2334.1477
United States of America,Emissions (CH4),Burning - Crop residues,1976,111.1499
United States of America,Emissions (CO2eq) from CH4,Rice Cultivation,1976,7376.5041
United States of America,Emissions (CH4),Rice Cultivation,1976,351.2621
United States of America,Emissions (CO2eq) from CH4,Manure Management,1976,26384.8837
United States of America,Emissions (CH4),Manure Management,1976,1256.423
United States of America,Emissions (CO2eq) from CH4,Enteric Fermentation,1976,165537.9288
United States of America,Emissions (CH4),Enteric Fermentation,1976,7882.7585
United States of America,Emissions (CO2eq) from CH4,Agriculture total,1976,201633.4643
United States of America,Emissions (CH4),Agriculture total,1976,9601.5935
United States of America,Emissions (CH4),Agriculture total,1977,9343.8414
United States of America,Emissions (CO2eq) from CH4,Agriculture total,1977,196220.6702
United States of America,Emissions (CH4),Enteric Fermentation,1977,7606.8268
United States of America,Emissions (CO2eq) from CH4,Enteric Fermentation,1977,159743.3628
United States of America,Emissions (CH4),Manure Management,1977,1309.1778
United States of America,Emissions (CO2eq) from CH4,Manure Management,1977,27492.7332
United States of America,Emissions (CH4),Rice Cultivation,1977,318.5525
United States of America,Emissions (CO2eq) from CH4,Rice Cultivation,1977,6689.6025
United States of America,Emissions (CH4),Burning - Crop residues,1977,109.2844
United States of America,Emissions (CO2eq) from CH4,Burning - Crop residues,1977,2294.9717
Canada,Emissions (CH4),Agriculture total,1977,1067.2626
Canada,Emissions (CO2eq) from CH4,Agriculture total,1977,22412.5143
Canada,Emissions (CH4),Enteric Fermentation,1977,875.0947
Canada,Emissions (CO2eq) from CH4,Enteric Fermentation,1977,18376.9887
Canada,Emissions (CH4),Manure Management,1977,179.2558
Canada,Emissions (CO2eq) from CH4,Manure Management,1977,3764.3714
Canada,Emissions (CH4),Burning - Crop residues,1977,12.9121
Canada,Emissions (CO2eq) from CH4,Burning - Crop residues,1977,271.1541
World,Emissions (CH4),Agriculture total,1977,112235.2056
World,Emissions (CO2eq) from CH4,Agriculture total,1977,2356939.319
World,Emissions (CH4),Enteric Fermentation,1977,81263.3714
World,Emissions (CO2eq) from CH4,Enteric Fermentation,1977,1706530.8
World,Emissions (CH4),Manure Management,1977,8500.591
World,Emissions (CO2eq) from CH4,Manure Management,1977,178512.4107
World,Emissions (CH4),Rice Cultivation,1977,21649.9988
World,Emissions (CO2eq) from CH4,Rice Cultivation,1977,454649.9756
World,Emissions (CH4),Burning - Crop residues,1977,821.2444
World,Emissions (CO2eq) from CH4,Burning - Crop residues,1977,17246.1322
World,Emissions (CO2eq) from CH4,Burning - Crop residues,1978,17260.0008
World,Emissions (CH4),Burning - Crop residues,1978,821.9048
World,Emissions (CO2eq) from CH4,Rice Cultivation,1978,455453.0516
World,Emissions (CH4),Rice Cultivation,1978,21688.2406
World,Emissions (CO2eq) from CH4,Manure Management,1978,180984.5765
World,Emissions (CH4),Manure Management,1978,8618.3132
World,Emissions (CO2eq) from CH4,Enteric Fermentation,1978,1710232.774
World,Emissions (CH4),Enteric Fermentation,1978,81439.6559
World,Emissions (CO2eq) from CH4,Agriculture total,1978,2363930.403
World,Emissions (CH4),Agriculture total,1978,112568.1144
Canada,Emissions (CO2eq) from CH4,Burning - Crop residues,1978,288.1432
Canada,Emissions (CH4),Burning - Crop residues,1978,13.7211
Canada,Emissions (CO2eq) from CH4,Manure Management,1978,3817.7
Canada,Emissions (CH4),Manure Management,1978,181.7952
Canada,Emissions (CO2eq) from CH4,Enteric Fermentation,1978,17359.6605
Canada,Emissions (CH4),Enteric Fermentation,1978,826.6505
Canada,Emissions (CO2eq) from CH4,Agriculture total,1978,21465.5037
Canada,Emissions (CH4),Agriculture total,1978,1022.1668
United States of America,Emissions (CO2eq) from CH4,Burning - Crop residues,1978,2217.6062
United States of America,Emissions (CH4),Burning - Crop residues,1978,105.6003
United States of America,Emissions (CO2eq) from CH4,Rice Cultivation,1978,8834.1855
United States of America,Emissions (CH4),Rice Cultivation,1978,420.6755
United States of America,Emissions (CO2eq) from CH4,Manure Management,1978,27631.0914
United States of America,Emissions (CH4),Manure Management,1978,1315.7663
United States of America,Emissions (CO2eq) from CH4,Enteric Fermentation,1978,152432.1947
United States of America,Emissions (CH4),Enteric Fermentation,1978,7258.6759
United States of America,Emissions (CO2eq) from CH4,Agriculture total,1978,191115.0777
United States of America,Emissions (CH4),Agriculture total,1978,9100.718
United States of America,Emissions (CH4),Agriculture total,1979,8834.3188
United States of America,Emissions (CO2eq) from CH4,Agriculture total,1979,185520.6943
United States of America,Emissions (CH4),Enteric Fermentation,1979,6967.0824
United States of America,Emissions (CO2eq) from CH4,Enteric Fermentation,1979,146308.7304
United States of America,Emissions (CH4),Manure Management,1979,1352.2176
United States of America,Emissions (CO2eq) from CH4,Manure Management,1979,28396.5691
United States of America,Emissions (CH4),Rice Cultivation,1979,406.371
United States of America,Emissions (CO2eq) from CH4,Rice Cultivation,1979,8533.791
United States of America,Emissions (CH4),Burning - Crop residues,1979,108.6478
United States of America,Emissions (CO2eq) from CH4,Burning - Crop residues,1979,2281.6038
Canada,Emissions (CH4),Agriculture total,1979,1003.7079
Canada,Emissions (CO2eq) from CH4,Agriculture total,1979,21077.865
Canada,Emissions (CH4),Enteric Fermentation,1979,795.0531
Canada,Emissions (CO2eq) from CH4,Enteric Fermentation,1979,16696.1151
Canada,Emissions (CH4),Manure Management,1979,194.7178
Canada,Emissions (CO2eq) from CH4,Manure Management,1979,4089.0735
Canada,Emissions (CH4),Burning - Crop residues,1979,13.937
Canada,Emissions (CO2eq) from CH4,Burning - Crop residues,1979,292.6763
World,Emissions (CH4),Agriculture total,1979,112878.3815
World,Emissions (CO2eq) from CH4,Agriculture total,1979,2370446.011
World,Emissions (CH4),Enteric Fermentation,1979,81928.4161
World,Emissions (CO2eq) from CH4,Enteric Fermentation,1979,1720496.737
World,Emissions (CH4),Manure Management,1979,8776.2209
World,Emissions (CO2eq) from CH4,Manure Management,1979,184300.638
World,Emissions (CH4),Rice Cultivation,1979,21359.4953
World,Emissions (CO2eq) from CH4,Rice Cultivation,1979,448549.4022
World,Emissions (CH4),Burning - Crop residues,1979,814.2492
World,Emissions (CO2eq) from CH4,Burning - Crop residues,1979,17099.2329
World,Emissions (CO2eq) from CH4,Burning - Crop residues,1980,17505.5068
World,Emissions (CH4),Burning - Crop residues,1980,833.5956
World,Emissions (CO2eq) from CH4,Rice Cultivation,1980,457373.5778
World,Emissions (CH4),Rice Cultivation,1980,21779.6942
World,Emissions (CO2eq) from CH4,Manure Management,1980,188612.6328
World,Emissions (CH4),Manure Management,1980,8981.5539
World,Emissions (CO2eq) from CH4,Enteric Fermentation,1980,1740833.632
World,Emissions (CH4),Enteric Fermentation,1980,82896.8396
World,Emissions (CO2eq) from CH4,Agriculture total,1980,2404325.349
World,Emissions (CH4),Agriculture total,1980,114491.6833
Canada,Emissions (CO2eq) from CH4,Burning - Crop residues,1980,312.1653
Canada,Emissions (CH4),Burning - Crop residues,1980,14.865
Canada,Emissions (CO2eq) from CH4,Manure Management,1980,4439.1553
Canada,Emissions (CH4),Manure Management,1980,211.3883
Canada,Emissions (CO2eq) from CH4,Enteric Fermentation,1980,16831.0863
Canada,Emissions (CH4),Enteric Fermentation,1980,801.4803
Canada,Emissions (CO2eq) from CH4,Agriculture total,1980,21582.4068
Canada,Emissions (CH4),Agriculture total,1980,1027.7337
United States of America,Emissions (CO2eq) from CH4,Burning - Crop residues,1980,2379.6556
United States of America,Emissions (CH4),Burning - Crop residues,1980,113.3169
United States of America,Emissions (CO2eq) from CH4,Rice Cultivation,1980,9851.205
United States of America,Emissions (CH4),Rice Cultivation,1980,469.105
United States of America,Emissions (CO2eq) from CH4,Manure Management,1980,30076.4576
United States of America,Emissions (CH4),Manure Management,1980,1432.2123
United States of America,Emissions (CO2eq) from CH4,Enteric Fermentation,1980,147126.504
United States of America,Emissions (CH4),Enteric Fermentation,1980,7006.024
United States of America,Emissions (CO2eq) from CH4,Agriculture total,1980,189433.8222
United States of America,Emissions (CH4),Agriculture total,1980,9020.6582
United States of America,Emissions (CH4),Agriculture total,1981,9242.7052
United States of America,Emissions (CO2eq) from CH4,Agriculture total,1981,194096.8089
United States of America,Emissions (CH4),Enteric Fermentation,1981,7176.1704
United States of America,Emissions (CO2eq) from CH4,Enteric Fermentation,1981,150699.5789
United States of America,Emissions (CH4),Manure Management,1981,1409.9429
United States of America,Emissions (CO2eq) from CH4,Manure Management,1981,29608.8013
United States of America,Emissions (CH4),Rice Cultivation,1981,537.103
United States of America,Emissions (CO2eq) from CH4,Rice Cultivation,1981,11279.163
United States of America,Emissions (CH4),Burning - Crop residues,1981,119.4888
United States of America,Emissions (CO2eq) from CH4,Burning - Crop residues,1981,2509.2657
Canada,Emissions (CH4),Agriculture total,1981,1031.9339
Canada,Emissions (CO2eq) from CH4,Agriculture total,1981,21670.6125
Canada,Emissions (CH4),Enteric Fermentation,1981,803.4347
Canada,Emissions (CO2eq) from CH4,Enteric Fermentation,1981,16872.1287
Canada,Emissions (CH4),Manure Management,1981,211.9981
Canada,Emissions (CO2eq) from CH4,Manure Management,1981,4451.9594
Canada,Emissions (CH4),Burning - Crop residues,1981,16.5012
Canada,Emissions (CO2eq) from CH4,Burning - Crop residues,1981,346.5243
World,Emissions (CH4),Agriculture total,1981,115350.0964
World,Emissions (CO2eq) from CH4,Agriculture total,1981,2422352.025
World,Emissions (CH4),Enteric Fermentation,1981,83659.7476
World,Emissions (CO2eq) from CH4,Enteric Fermentation,1981,1756854.699
World,Emissions (CH4),Manure Management,1981,8968.7627
World,Emissions (CO2eq) from CH4,Manure Management,1981,188344.0157
World,Emissions (CH4),Rice Cultivation,1981,21878.5556
World,Emissions (CO2eq) from CH4,Rice Cultivation,1981,459449.6679
World,Emissions (CH4),Burning - Crop residues,1981,843.0306
World,Emissions (CO2eq) from CH4,Burning - Crop residues,1981,17703.6423
World,Emissions (CO2eq) from CH4,Burning - Crop residues,1982,17431.5431
World,Emissions (CH4),Burning - Crop residues,1982,830.0735
World,Emissions (CO2eq) from CH4,Rice Cultivation,1982,448873.4472
World,Emissions (CH4),Rice Cultivation,1982,21374.9261
World,Emissions (CO2eq) from CH4,Manure Management,1982,188410.4639
World,Emissions (CH4),Manure Management,1982,8971.9269
World,Emissions (CO2eq) from CH4,Enteric Fermentation,1982,1776851.926
World,Emissions (CH4),Enteric Fermentation,1982,84611.9965
World,Emissions (CO2eq) from CH4,Agriculture total,1982,2431567.38
World,Emissions (CH4),Agriculture total,1982,115788.9229
Canada,Emissions (CO2eq) from CH4,Burning - Crop residues,1982,346.8566
Canada,Emissions (CH4),Burning - Crop residues,1982,16.517
Canada,Emissions (CO2eq) from CH4,Manure Management,1982,4414.8202
Canada,Emissions (CH4),Manure Management,1982,210.2295
Canada,Emissions (CO2eq) from CH4,Enteric Fermentation,1982,16893.0048
Canada,Emissions (CH4),Enteric Fermentation,1982,804.4288
Canada,Emissions (CO2eq) from CH4,Agriculture total,1982,21654.6816
Canada,Emissions (CH4),Agriculture total,1982,1031.1753
United States of America,Emissions (CO2eq) from CH4,Burning - Crop residues,1982,2436.1256
United States of America,Emissions (CH4),Burning - Crop residues,1982,116.006
United States of America,Emissions (CO2eq) from CH4,Rice Cultivation,1982,9702.735
United States of America,Emissions (CH4),Rice Cultivation,1982,462.035
United States of America,Emissions (CO2eq) from CH4,Manure Management,1982,28408.8595
United States of America,Emissions (CH4),Manure Management,1982,1352.8028
United States of America,Emissions (CO2eq) from CH4,Enteric Fermentation,1982,151931.598
United States of America,Emissions (CH4),Enteric Fermentation,1982,7234.838
United States of America,Emissions (CO2eq) from CH4,Agriculture total,1982,192479.3181
United States of America,Emissions (CH4),Agriculture total,1982,9165.6818
United States of America,Emissions (CH4),Agriculture total,1983,8902.8392
United States of America,Emissions (CO2eq) from CH4,Agriculture total,1983,186959.6226
United States of America,Emissions (CH4),Enteric Fermentation,1983,7202.4314
United States of America,Emissions (CO2eq) from CH4,Enteric Fermentation,1983,151251.0599
United States of America,Emissions (CH4),Manure Management,1983,1308.264
United States of America,Emissions (CO2eq) from CH4,Manure Management,1983,27473.544
United States of America,Emissions (CH4),Rice Cultivation,1983,307.2125
United States of America,Emissions (CO2eq) from CH4,Rice Cultivation,1983,6451.4625
United States of America,Emissions (CH4),Burning - Crop residues,1983,84.9312
United States of America,Emissions (CO2eq) from CH4,Burning - Crop residues,1983,1783.5561
Canada,Emissions (CH4),Agriculture total,1983,1009.8915
Canada,Emissions (CO2eq) from CH4,Agriculture total,1983,21207.7222
Canada,Emissions (CH4),Enteric Fermentation,1983,785.192
Canada,Emissions (CO2eq) from CH4,Enteric Fermentation,1983,16489.032
Canada,Emissions (CH4),Manure Management,1983,207.0224
Canada,Emissions (CO2eq) from CH4,Manure Management,1983,4347.4696
Canada,Emissions (CH4),Burning - Crop residues,1983,17.6772
Canada,Emissions (CO2eq) from CH4,Burning - Crop residues,1983,371.2206
World,Emissions (CH4),Agriculture total,1983,116328.587
World,Emissions (CO2eq) from CH4,Agriculture total,1983,2442900.326
World,Emissions (CH4),Enteric Fermentation,1983,85121.8918
World,Emissions (CO2eq) from CH4,Enteric Fermentation,1983,1787559.728
World,Emissions (CH4),Manure Management,1983,8979.6109
World,Emissions (CO2eq) from CH4,Manure Management,1983,188571.828
World,Emissions (CH4),Rice Cultivation,1983,21421.0833
World,Emissions (CO2eq) from CH4,Rice Cultivation,1983,449842.7498
World,Emissions (CH4),Burning - Crop residues,1983,806.001
World,Emissions (CO2eq) from CH4,Burning - Crop residues,1983,16926.0203
World,Emissions (CO2eq) from CH4,Burning - Crop residues,1984,17552.5651
World,Emissions (CH4),Burning - Crop residues,1984,835.8364
World,Emissions (CO2eq) from CH4,Rice Cultivation,1984,456096.6882
World,Emissions (CH4),Rice Cultivation,1984,21718.8899
World,Emissions (CO2eq) from CH4,Manure Management,1984,190863.5837
World,Emissions (CH4),Manure Management,1984,9088.7421
World,Emissions (CO2eq) from CH4,Enteric Fermentation,1984,1798568.388
World,Emissions (CH4),Enteric Fermentation,1984,85646.1137
World,Emissions (CO2eq) from CH4,Agriculture total,1984,2463081.225
World,Emissions (CH4),Agriculture total,1984,117289.5821
Canada,Emissions (CO2eq) from CH4,Burning - Crop residues,1984,363.6545
Canada,Emissions (CH4),Burning - Crop residues,1984,17.3169
Canada,Emissions (CO2eq) from CH4,Manure Management,1984,4387.8919
Canada,Emissions (CH4),Manure Management,1984,208.9472
Canada,Emissions (CO2eq) from CH4,Enteric Fermentation,1984,16153.4016
Canada,Emissions (CH4),Enteric Fermentation,1984,769.2096
Canada,Emissions (CO2eq) from CH4,Agriculture total,1984,20904.948
Canada,Emissions (CH4),Agriculture total,1984,995.4737
United States of America,Emissions (CO2eq) from CH4,Burning - Crop residues,1984,2310.4844
United States of America,Emissions (CH4),Burning - Crop residues,1984,110.0231
United States of America,Emissions (CO2eq) from CH4,Rice Cultivation,1984,8334.9
United States of America,Emissions (CH4),Rice Cultivation,1984,396.9
United States of America,Emissions (CO2eq) from CH4,Manure Management,1984,27685.3046
United States of America,Emissions (CH4),Manure Management,1984,1318.3478
United States of America,Emissions (CO2eq) from CH4,Enteric Fermentation,1984,148987.272
United States of America,Emissions (CH4),Enteric Fermentation,1984,7094.632
United States of America,Emissions (CO2eq) from CH4,Agriculture total,1984,187317.961
United States of America,Emissions (CH4),Agriculture total,1984,8919.9029
United States of America,Emissions (CH4),Agriculture total,1985,8661.2401
United States of America,Emissions (CO2eq) from CH4,Agriculture total,1985,181886.0423
United States of America,Emissions (CH4),Enteric Fermentation,1985,6899.2465
United States of America,Emissions (CO2eq) from CH4,Enteric Fermentation,1985,144884.1768
United States of America,Emissions (CH4),Manure Management,1985,1296.5182
United States of America,Emissions (CO2eq) from CH4,Manure Management,1985,27226.8821
United States of America,Emissions (CH4),Rice Cultivation,1985,352.975
United States of America,Emissions (CO2eq) from CH4,Rice Cultivation,1985,7412.475
United States of America,Emissions (CH4),Burning - Crop residues,1985,112.5004
United States of America,Emissions (CO2eq) from CH4,Burning - Crop residues,1985,2362.5084
Canada,Emissions (CH4),Agriculture total,1985,975.2274
Canada,Emissions (CO2eq) from CH4,Agriculture total,1985,20479.7752
Canada,Emissions (CH4),Enteric Fermentation,1985,749.0194
Canada,Emissions (CO2eq) from CH4,Enteric Fermentation,1985,15729.4074
Canada,Emissions (CH4),Manure Management,1985,208.3475
Canada,Emissions (CO2eq) from CH4,Manure Management,1985,4375.2973
Canada,Emissions (CH4),Burning - Crop residues,1985,17.8605
Canada,Emissions (CO2eq) from CH4,Burning - Crop residues,1985,375.0705
World,Emissions (CH4),Agriculture total,1985,117672.0874
World,Emissions (CO2eq) from CH4,Agriculture total,1985,2471113.835
World,Emissions (CH4),Enteric Fermentation,1985,86046.2996
World,Emissions (CO2eq) from CH4,Enteric Fermentation,1985,1806972.291
World,Emissions (CH4),Manure Management,1985,9117.4844
World,Emissions (CO2eq) from CH4,Manure Management,1985,191467.1734
World,Emissions (CH4),Rice Cultivation,1985,21666.078
World,Emissions (CO2eq) from CH4,Rice Cultivation,1985,454987.6379
World,Emissions (CH4),Burning - Crop residues,1985,842.2254
World,Emissions (CO2eq) from CH4,Burning - Crop residues,1985,17686.7328
World,Emissions (CO2eq) from CH4,Burning - Crop residues,1986,17727.282
World,Emissions (CH4),Burning - Crop residues,1986,844.1563
World,Emissions (CO2eq) from CH4,Rice Cultivation,1986,455218.7131
World,Emissions (CH4),Rice Cultivation,1986,21677.0816
World,Emissions (CO2eq) from CH4,Manure Management,1986,193410.8634
World,Emissions (CH4),Manure Management,1986,9210.0411
World,Emissions (CO2eq) from CH4,Enteric Fermentation,1986,1822056.586
World,Emissions (CH4),Enteric Fermentation,1986,86764.5993
World,Emissions (CO2eq) from CH4,Agriculture total,1986,2488413.444
World,Emissions (CH4),Agriculture total,1986,118495.8783
Canada,Emissions (CO2eq) from CH4,Burning - Crop residues,1986,379.0713
Canada,Emissions (CH4),Burning - Crop residues,1986,18.051
Canada,Emissions (CO2eq) from CH4,Manure Management,1986,4159.9276
Canada,Emissions (CH4),Manure Management,1986,198.0918
Canada,Emissions (CO2eq) from CH4,Enteric Fermentation,1986,15177.4854
Canada,Emissions (CH4),Enteric Fermentation,1986,722.7374
Canada,Emissions (CO2eq) from CH4,Agriculture total,1986,19716.4843
Canada,Emissions (CH4),Agriculture total,1986,938.8802
United States of America,Emissions (CO2eq) from CH4,Burning - Crop residues,1986,2179.7346
United States of America,Emissions (CH4),Burning - Crop residues,1986,103.7969
United States of America,Emissions (CO2eq) from CH4,Rice Cultivation,1986,7019.25
United States of America,Emissions (CH4),Rice Cultivation,1986,334.25
United States of America,Emissions (CO2eq) from CH4,Manure Management,1986,26586.4455
United States of America,Emissions (CH4),Manure Management,1986,1266.0212
United States of America,Emissions (CO2eq) from CH4,Enteric Fermentation,1986,139749.288
United States of America,Emissions (CH4),Enteric Fermentation,1986,6654.728
United States of America,Emissions (CO2eq) from CH4,Agriculture total,1986,175534.7181
United States of America,Emissions (CH4),Agriculture total,1986,8358.7961
United States of America,Emissions (CH4),Agriculture total,1987,8099.8692
United States of America,Emissions (CO2eq) from CH4,Agriculture total,1987,170097.2528
United States of America,Emissions (CH4),Enteric Fermentation,1987,6446.555
United States of America,Emissions (CO2eq) from CH4,Enteric Fermentation,1987,135377.655
United States of America,Emissions (CH4),Manure Management,1987,1231.4186
United States of America,Emissions (CO2eq) from CH4,Manure Management,1987,25859.79
United States of America,Emissions (CH4),Rice Cultivation,1987,330.435
United States of America,Emissions (CO2eq) from CH4,Rice Cultivation,1987,6939.135
United States of America,Emissions (CH4),Burning - Crop residues,1987,91.4606
United States of America,Emissions (CO2eq) from CH4,Burning - Crop residues,1987,1920.6728
Canada,Emissions (CH4),Agriculture total,1987,910.3648
Canada,Emissions (CO2eq) from CH4,Agriculture total,1987,19117.6611
Canada,Emissions (CH4),Enteric Fermentation,1987,700.0332
Canada,Emissions (CO2eq) from CH4,Enteric Fermentation,1987,14700.6972
Canada,Emissions (CH4),Manure Management,1987,193.0992
Canada,Emissions (CO2eq) from CH4,Manure Management,1987,4055.0829
Canada,Emissions (CH4),Burning - Crop residues,1987,17.2324
Canada,Emissions (CO2eq) from CH4,Burning - Crop residues,1987,361.8809
World,Emissions (CH4),Agriculture total,1987,118100.7867
World,Emissions (CO2eq) from CH4,Agriculture total,1987,2480116.521
World,Emissions (CH4),Enteric Fermentation,1987,86836.4769
World,Emissions (CO2eq) from CH4,Enteric Fermentation,1987,1823566.016
World,Emissions (CH4),Manure Management,1987,9178.2382
World,Emissions (CO2eq) from CH4,Manure Management,1987,192743.0032
World,Emissions (CH4),Rice Cultivation,1987,21258.4562
World,Emissions (CO2eq) from CH4,Rice Cultivation,1987,446427.5802
World,Emissions (CH4),Burning - Crop residues,1987,827.6153
World,Emissions (CO2eq) from CH4,Burning - Crop residues,1987,17379.9221
World,Emissions (CO2eq) from CH4,Burning - Crop residues,1988,17494.0015
World,Emissions (CH4),Burning - Crop residues,1988,833.0477
World,Emissions (CO2eq) from CH4,Rice Cultivation,1988,461044.307
World,Emissions (CH4),Rice Cultivation,1988,21954.4908
World,Emissions (CO2eq) from CH4,Manure Management,1988,193244.563
World,Emissions (CH4),Manure Management,1988,9202.122
World,Emissions (CO2eq) from CH4,Enteric Fermentation,1988,1833513.238
World,Emissions (CH4),Enteric Fermentation,1988,87310.1542
World,Emissions (CO2eq) from CH4,Agriculture total,1988,2505296.109
World,Emissions (CH4),Agriculture total,1988,119299.8147
Canada,Emissions (CO2eq) from CH4,Burning - Crop residues,1988,349.2221
Canada,Emissions (CH4),Burning - Crop residues,1988,16.6296
Canada,Emissions (CO2eq) from CH4,Manure Management,1988,4216.2762
Canada,Emissions (CH4),Manure Management,1988,200.7751
Canada,Emissions (CO2eq) from CH4,Enteric Fermentation,1988,14828.414
Canada,Emissions (CH4),Enteric Fermentation,1988,706.1149
Canada,Emissions (CO2eq) from CH4,Agriculture total,1988,19393.9123
Canada,Emissions (CH4),Agriculture total,1988,923.5196
United States of America,Emissions (CO2eq) from CH4,Burning - Crop residues,1988,1873.9835
United States of America,Emissions (CH4),Burning - Crop residues,1988,89.2373
United States of America,Emissions (CO2eq) from CH4,Rice Cultivation,1988,8625.96
United States of America,Emissions (CH4),Rice Cultivation,1988,410.76
United States of America,Emissions (CO2eq) from CH4,Manure Management,1988,26500.4401
United States of America,Emissions (CH4),Manure Management,1988,1261.9257
United States of America,Emissions (CO2eq) from CH4,Enteric Fermentation,1988,132653.01
United States of America,Emissions (CH4),Enteric Fermentation,1988,6316.81
United States of America,Emissions (CO2eq) from CH4,Agriculture total,1988,169653.3937
United States of America,Emissions (CH4),Agriculture total,1988,8078.733
United States of America,Emissions (CH4),Agriculture total,1989,7896.7558
United States of America,Emissions (CO2eq) from CH4,Agriculture total,1989,165831.8711
United States of America,Emissions (CH4),Enteric Fermentation,1989,6151.979
United States of America,Emissions (CO2eq) from CH4,Enteric Fermentation,1989,129191.559
United States of America,Emissions (CH4),Manure Management,1989,1264.1439
United States of America,Emissions (CO2eq) from CH4,Manure Management,1989,26547.0215
United States of America,Emissions (CH4),Rice Cultivation,1989,380.45
United States of America,Emissions (CO2eq) from CH4,Rice Cultivation,1989,7989.45
United States of America,Emissions (CH4),Burning - Crop residues,1989,100.1829
United States of America,Emissions (CO2eq) from CH4,Burning - Crop residues,1989,2103.8406
Canada,Emissions (CH4),Agriculture total,1989,934.6242
Canada,Emissions (CO2eq) from CH4,Agriculture total,1989,19627.1072
Canada,Emissions (CH4),Enteric Fermentation,1989,715.2754
Canada,Emissions (CO2eq) from CH4,Enteric Fermentation,1989,15020.7834
Canada,Emissions (CH4),Manure Management,1989,201.7404
Canada,Emissions (CO2eq) from CH4,Manure Management,1989,4236.5491
Canada,Emissions (CH4),Burning - Crop residues,1989,17.6083
Canada,Emissions (CO2eq) from CH4,Burning - Crop residues,1989,369.7747
World,Emissions (CH4),Agriculture total,1989,121027.0615
World,Emissions (CO2eq) from CH4,Agriculture total,1989,2541568.292
World,Emissions (CH4),Enteric Fermentation,1989,88520.5026
World,Emissions (CO2eq) from CH4,Enteric Fermentation,1989,1858930.554
World,Emissions (CH4),Manure Management,1989,9269.6152
World,Emissions (CO2eq) from CH4,Manure Management,1989,194661.9185
World,Emissions (CH4),Rice Cultivation,1989,22386.0139
World,Emissions (CO2eq) from CH4,Rice Cultivation,1989,470106.2924
World,Emissions (CH4),Burning - Crop residues,1989,850.9299
World,Emissions (CO2eq) from CH4,Burning - Crop residues,1989,17869.5275
World,Emissions (CO2eq) from CH4,Burning - Crop residues,1990,17875.7281
World,Emissions (CH4),Burning - Crop residues,1990,851.2251
World,Emissions (CH4),Burning - Savanna,1990,5750.5321
World,Emissions (CO2eq) from CH4,Burning - Savanna,1990,120761.1742
World,Emissions (CO2eq) from CH4,Rice Cultivation,1990,465640.3111
World,Emissions (CH4),Rice Cultivation,1990,22173.3481
World,Emissions (CO2eq) from CH4,Manure Management,1990,194516.6593
World,Emissions (CH4),Manure Management,1990,9262.6981
World,Emissions (CO2eq) from CH4,Enteric Fermentation,1990,1870528.521
World,Emissions (CH4),Enteric Fermentation,1990,89072.7867
World,Emissions (CO2eq) from CH4,Agriculture total,1990,2669322.394
World,Emissions (CH4),Agriculture total,1990,127110.5902
Canada,Emissions (CO2eq) from CH4,Burning - Crop residues,1990,378.1323
Canada,Emissions (CH4),Burning - Savanna,1990,13.3794
Canada,Emissions (CO2eq) from CH4,Burning - Savanna,1990,280.9679
Canada,Emissions (CH4),Burning - Crop residues,1990,18.0063
Canada,Emissions (CO2eq) from CH4,Manure Management,1990,4091.9118
Canada,Emissions (CH4),Manure Management,1990,194.8529
Canada,Emissions (CO2eq) from CH4,Enteric Fermentation,1990,15238.6773
Canada,Emissions (CH4),Enteric Fermentation,1990,725.6513
Canada,Emissions (CO2eq) from CH4,Agriculture total,1990,19989.6892
Canada,Emissions (CH4),Agriculture total,1990,951.89
United States of America,Emissions (CH4),Burning - Savanna,1990,27.3732
United States of America,Emissions (CO2eq) from CH4,Burning - Savanna,1990,574.8366
United States of America,Emissions (CO2eq) from CH4,Burning - Crop residues,1990,2217.9923
United States of America,Emissions (CH4),Burning - Crop residues,1990,105.6187
United States of America,Emissions (CO2eq) from CH4,Rice Cultivation,1990,8396.64
United States of America,Emissions (CH4),Rice Cultivation,1990,399.84
United States of America,Emissions (CO2eq) from CH4,Manure Management,1990,26157.1074
United States of America,Emissions (CH4),Manure Management,1990,1245.5765
United States of America,Emissions (CO2eq) from CH4,Enteric Fermentation,1990,128117.241
